Hang Seng Index Tracking Fund,BID,OFFER
	2020-10-20,25.16	,25.16	
	2020-10-21,25.31	,25.31	
	2020-10-22,25.38	,25.38	
	2020-10-23,25.52	,25.52	
	2020-10-27,25.38	,25.38	
	2020-10-28,25.30	,25.30	
	2020-10-29,25.17	,25.17	
	2020-10-30,24.68	,24.68	
	2020-11-02,25.04	,25.04	
	2020-11-03,25.50	,25.50	
	2020-11-04,25.44	,25.44	
	2020-11-05,26.27	,26.27	
	2020-11-06,26.28	,26.28	
	2020-11-09,26.60	,26.60	
	2020-11-10,26.93	,26.93	
	2020-11-11,26.82	,26.82	
	2020-11-12,26.80	,26.80	
	2020-11-13,26.78	,26.78	
	2020-11-16,27.01	,27.01	
	2020-11-17,27.04	,27.04	
	2020-11-18,27.18	,27.18	
	2020-11-19,26.99	,26.99	
	2020-11-20,27.09	,27.09	
	2020-11-23,27.12	,27.12	
	2020-11-24,27.23	,27.23	
	2020-11-25,27.31	,27.31	
	2020-11-26,27.46	,27.46	
	2020-11-27,27.54	,27.54	
	2020-11-30,26.98	,26.98	
	2020-12-01,27.21	,27.21	
	2020-12-02,27.17	,27.17	
	2020-12-03,27.37	,27.37	
	2020-12-04,27.48	,27.48	
	2020-12-07,27.14	,27.14	
	2020-12-08,26.93	,26.93	
	2020-12-09,27.13	,27.13	
	2020-12-10,27.04	,27.04	
	2020-12-11,27.14	,27.14	
	2020-12-14,27.02	,27.02	
	2020-12-15,26.83	,26.83	
	2020-12-16,27.09	,27.09	
	2020-12-17,27.31	,27.31	
	2020-12-18,27.12	,27.12	
	2020-12-21,26.93	,26.93	
	2020-12-22,26.73	,26.73	
	2020-12-23,26.96	,26.96	
	2020-12-24,27.01	,27.01	
	2020-12-28,26.93	,26.93	
	2020-12-29,27.19	,27.19	
	2020-12-30,27.74	,27.74	
	2020-12-31,27.87	,27.87	
	2021-01-04,28.11	,28.11	
	2021-01-05,28.29	,28.29	
	2021-01-06,28.33	,28.33	
	2021-01-07,28.19	,28.19	
	2021-01-08,28.52	,28.52	
	2021-01-11,28.55	,28.55	
	2021-01-12,28.93	,28.93	
	2021-01-13,28.88	,28.88	
	2021-01-14,29.15	,29.15	
	2021-01-15,29.23	,29.23	
	2021-01-18,29.52	,29.52	
	2021-01-19,30.28	,30.28	
	2021-01-20,30.60	,30.60	
	2021-01-21,30.57	,30.57	
	2021-01-22,30.08	,30.08	
	2021-01-25,30.80	,30.80	
	2021-01-26,30.06	,30.06	
	2021-01-27,29.96	,29.96	
	2021-01-28,29.20	,29.20	
	2021-01-29,28.92	,28.92	
	2021-02-01,29.54	,29.54	
